Id_Itinerario,Targa,Strada,Lat,Lng,VelocitaLimite,VelocitaRilevata,Km
0,AR064WE,"Via Torino, 23, 20123 Milano, Italy",45.4623097,9.1865571,50,40,0
0,AR064WE,Via dell'Unione,45.4637355,9.188277,50,49,0.21
0,AR064WE,Piazza del Duomo,45.4647005,9.1885516,50,58,0.14
0,AR064WE,Via Giuseppe Mengoni,45.4660339,9.1884904,50,55,0.15
0,AR064WE,Via Santa Margherita,45.4669622,9.1893594,50,53,0.12
0,AR064WE,Piazza della Scala,45.4674588,9.1900112,50,48,0.07
0,AR064WE,Via Alessandro Manzoni,45.4722757,9.1952014,50,51,0.67
0,AR064WE,Via Fatebenefratelli,45.4729602,9.1879209,50,46,0.59
0,AR064WE,Via Pontaccio,45.4720908,9.1839051,90,87,0.33
0,AR064WE,Via Mercato,45.4701887,9.1848271,50,54,0.23
0,AR064WE,Via Ponte Vetero,45.4701084,9.1848743,50,56,0.01
1,AR064WE,"Via Ponte Vetero, 21, 20121 Milano, Italy",45.4701084,9.1848743,50,19,0
1,AR064WE,Via Cusani,45.4689505,9.1853539,90,87,0.13
1,AR064WE,Via dell'Orso,45.4691786,9.1882506,90,83,0.23
1,AR064WE,Via Giuseppe Verdi,45.4674588,9.1900112,50,43,0.24
1,AR064WE,Via Alessandro Manzoni,45.4723891,9.1953639,90,96,0.69
1,AR064WE,Via Palestro,45.4718413,9.2024356,130,136,0.61
1,AR064WE,Corso Venezia,45.4706215,9.2010583,90,82,0.17
1,AR064WE,Via Gabrio Serbelloni,45.4690904,9.2021458,130,139,0.19
1,AR064WE,Via Mozart,45.4693869,9.2039449,90,84,0.14
1,AR064WE,Via Vivaio,45.4675633,9.2045413,90,92,0.21
1,AR064WE,Corso Monforte,45.4667857,9.1990612,90,88,0.44
1,AR064WE,Via Cino del Duca,45.4657696,9.199331,130,127,0.12
1,AR064WE,Via Borgogna,45.46581,9.1985004,90,99,0.07
1,AR064WE,Largo Arturo Toscanini,45.4658486,9.1976273,90,97,0.07
1,AR064WE,Corso Europa,45.4636145,9.1958035,130,123,0.29
1,AR064WE,Largo dei Bersaglieri,45.4630655,9.194874,90,83,0.1
1,AR064WE,Piazza Fontana,45.4635019,9.1941136,130,126,0.08
1,AR064WE,Piazza Fontana,45.4634792,9.1936331,90,81,0.05
1,AR064WE,Piazza Fontana,45.4639437,9.193596,50,51,0.05
2,AR064WE,"Piazza Fontana, 3, 20122 Milano, Italy",45.4639437,9.193596,50,32,0
2,AR064WE,Via dell'Arcivescovado,45.4634792,9.1936331,50,58,0.05
2,AR064WE,Via S. Clemente,45.4630689,9.1936733,50,51,0.05
2,AR064WE,Via delle Ore,45.4626727,9.1923497,50,59,0.12
2,AR064WE,Via Palazzo Reale,45.4622971,9.1926304,50,55,0.05
3,AR064WE,"Via Palazzo Reale, 5, 20122 Milano, Italy",45.4622971,9.1926304,50,43,0
3,AR064WE,Via Larga,45.4619937,9.192857,90,98,0.04
3,AR064WE,Via Larga,45.4607712,9.1909982,90,90,0.2
3,AR064WE,Via Alberico Albricci,45.4605652,9.1908427,130,136,0.03
3,AR064WE,Piazza Velasca,45.4597857,9.1897773,90,93,0.12
3,AR064WE,Corso di Porta Romana,45.4576026,9.193402,50,51,0.37
3,AR064WE,Via Francesco Sforza,45.4632066,9.1987455,90,95,0.75
3,AR064WE,Via Uberto Visconti di Modrone,45.4669948,9.2005457,90,89,0.46
3,AR064WE,Via S. Damiano,45.4687976,9.1992396,130,127,0.23
3,AR064WE,Via Senato,45.4722757,9.1952014,130,135,0.5
3,AR064WE,Via Fatebenefratelli,45.4729602,9.1879209,90,87,0.59
3,AR064WE,Via Pontaccio,45.4720908,9.1839051,50,46,0.33
3,AR064WE,Via Mercato,45.4701887,9.1848271,50,53,0.23
3,AR064WE,Via Ponte Vetero,45.4701084,9.1848743,50,53,0.01
4,AR064WE,"Via Ponte Vetero, 21, 20121 Milano, Italy",45.4701084,9.1848743,50,44,0
4,AR064WE,Via Ponte Vetero,45.4701084,9.1848743,50,50,0.0
