Id_Itinerario,Targa,Strada,Lat,Lng,VelocitaLimite,VelocitaRilevata,Km
0,CO628TM,"Via Lentasio, 3, 20122 Milano, Italy",45.4580534,9.1912833,50,21,0
0,CO628TM,Via S. Senatore,45.4575097,9.1900583,50,44,0.12
0,CO628TM,Via Sant'Eufemia,45.4573991,9.187553,90,99,0.2
0,CO628TM,Corso Italia,45.4560254,9.1873985,130,131,0.15
0,CO628TM,Via Santa Sofia,45.4576026,9.193402,130,139,0.51
0,CO628TM,Via Francesco Sforza,45.4632066,9.1987455,130,139,0.75
0,CO628TM,Via Uberto Visconti di Modrone,45.4669948,9.2005457,130,134,0.46
0,CO628TM,Corso Monforte,45.4668071,9.1977978,90,94,0.22
0,CO628TM,Corso Giacomo Matteotti,45.4669519,9.1937582,50,58,0.32
0,CO628TM,Piazza Filippo Meda,45.4667327,9.1928391,50,44,0.08
0,CO628TM,Via S. Paolo,45.4654893,9.1936174,90,95,0.15
0,CO628TM,Via Agnello,45.4661243,9.1916334,50,52,0.2
0,CO628TM,Via Ragazzi del '99,45.4658637,9.1912943,50,59,0.04
1,CO628TM,"Via S. Raffaele, 6, 20121 Milano, Italy",45.4658637,9.1912943,50,25,0
1,CO628TM,Via Agnello,45.4661243,9.1916334,90,89,0.04
1,CO628TM,Via Ulrico Hoepli,45.4666313,9.192872,130,135,0.14
1,CO628TM,Via S. Paolo,45.4667327,9.1928391,130,133,0.01
1,CO628TM,Piazza Filippo Meda,45.4669519,9.1937582,130,128,0.08
1,CO628TM,Corso Giacomo Matteotti,45.4668071,9.1977978,130,123,0.32
1,CO628TM,Corso Venezia,45.4706215,9.2010583,90,84,0.5
1,CO628TM,Via Gabrio Serbelloni,45.4701835,9.201619,50,53,0.07
1,CO628TM,Via Cappuccini,45.4706187,9.2053914,50,58,0.3
1,CO628TM,Viale Luigi Majno,45.4679042,9.2057157,90,88,0.3
1,CO628TM,Viale Bianca Maria,45.4626628,9.2065323,130,122,0.59
1,CO628TM,Piazza Cinque Giornate,45.461855,9.206676,90,93,0.09
1,CO628TM,Viale Regina Margherita,45.4574338,9.2044867,50,56,0.53
1,CO628TM,Viale Emilio Caldara,45.4524748,9.2018663,50,52,0.59
1,CO628TM,Corso di Porta Romana,45.4576026,9.193402,50,54,0.88
1,CO628TM,Via Francesco Sforza,45.4619122,9.1975084,50,55,0.58
2,CO628TM,"Via Francesco Sforza, 12, 20122 Milano, Italy",45.4619122,9.1975084,50,14,0
2,CO628TM,Corso di Porta Vittoria,45.4632066,9.1987455,90,83,0.17
2,CO628TM,Largo Augusto,45.4635328,9.1974201,50,47,0.11
2,CO628TM,Via Durini,45.465605,9.1981691,90,92,0.24
2,CO628TM,Corso Europa,45.4645134,9.1966393,50,48,0.2
2,CO628TM,Largo Corsia dei Servi,45.4643512,9.1955137,50,58,0.15
3,CO628TM,"Galleria del Corso, 3, 20122 Milano, Italy",45.4643258,9.1955017,50,22,0
3,CO628TM,Corso Europa,45.4630655,9.194874,90,87,0.19
3,CO628TM,Piazza Fontana,45.4629669,9.1949855,130,128,0.01
3,CO628TM,Via Verziere,45.4629272,9.1970411,130,125,0.17
3,CO628TM,Largo Augusto,45.4634153,9.1979222,90,90,0.09
3,CO628TM,Largo Augusto,45.4635328,9.1974201,130,138,0.04
3,CO628TM,Via Durini,45.465605,9.1981691,90,93,0.24
3,CO628TM,Corso Europa,45.4641662,9.196308,50,59,0.24
4,CO628TM,"Corso Europa, 9, 20122 Milano, Italy",45.4641662,9.196308,50,16,0
4,CO628TM,Via Felice Cavallotti,45.463969,9.1961198,50,43,0.03
4,CO628TM,Via Felice Cavallotti,45.4631785,9.1971317,50,54,0.16
4,CO628TM,Largo Augusto,45.4623757,9.1979677,90,96,0.12
4,CO628TM,Via Francesco Sforza,45.4632066,9.1987455,50,50,0.11
4,CO628TM,Via Uberto Visconti di Modrone,45.4669948,9.2005457,90,86,0.46
4,CO628TM,Via S. Damiano,45.468199,9.1997779,50,56,0.15
4,CO628TM,Via Mozart,45.4693869,9.2039449,50,46,0.36
4,CO628TM,Via Vivaio,45.4675633,9.2045413,50,40,0.21
4,CO628TM,Corso Monforte,45.4671166,9.2017093,50,43,0.23
